original,translation
The shrine can be found on one of the small islands in the archipelago of the Outer Isles,El santuario se encuentra en una de las pequeñas islas del archipiélago de las Islas Exteriores
Shrine of Fortitude,Santuario de la Fortaleza
I should pray at the Shrine of Fortitude to receive its blessing,Debo rezar en el Santuario de la Fortaleza para recibir su bendición
"The shrine is said to be located somewhere on the island of Eryll, north of Idra","Se dice que el santuario se encuentra en algún lugar de la isla de Eryll, al norte de Idra"
Shrine of Intellect,Santuario del Intelecto
I should pray at the Shrine of Intellect to receive its blessing,Debo rezar en el Santuario del Intelecto para recibir su bendición
The shrine can be found on an island directly east of Idra,El santuario se encuentra en una isla al este de Idra
Shrine of Presence,Santuario de la Presencia
I should pray at the Shrine of Presence to receive its blessing,Debo rezar en el Santuario de la Presencia para recibir su bendición
The shrine can be found on Idra - at the island’s northernmost point,"El santuario se encuentra en Idra, en el punto más septentrional de la isla"
Shrine of Strength,Santuario de la Fuerza
I should pray at the Shrine of Strength to receive its blessing,Debo rezar en el Santuario de la Fuerza para recibir su bendición
"The shrine is said to be located on Gradla's western coast, near the volcano Karaban","Se dice que el santuario se encuentra en la costa occidental de Gradla, cerca del volcán Karaban."
Carnivale,Carnaval
Preparations,Preparativos
The Baron and Baroness of Firgol are putting on a feast called the Carnivale for the commoners of the village of Firgol,El Barón y la Baronesa de Firgol están organizando una fiesta llamada Carnivale para los plebeyos del pueblo de Firgol
"The preparations are taking a bit longer than expected however, and they’ve asked me to see if I can help out","Sin embargo, los preparativos están tardando un poco más de lo esperado, y me han pedido que vea si puedo ayudar"
"The Baroness asked me to talk to Ari the brewer, Camilla the weaver and Klara the cook to see if they need my help","La Baronesa me ha pedido que hable con Ari la cervecera, Camilla la tejedora y Klara la cocinera para ver si necesitan mi ayuda"
All three can be found in the main village,A los tres los puedes encontrar en el pueblo principal
The Brewer,El cervecero
The Baroness of Firgol has asked me to talk to Ari the brewer to see if they need my help in finishing preparations for the Canivale,La Baronesa de Firgol me ha pedido que hable con Ari el cervecero para ver si necesitan mi ayuda para terminar los preparativos del Canivale
Talk to Ari,Habla con Ari
I need to seek out Ari the Brewer,Necesito buscar a Ari el cervecero
He lives somewhere in the village of Firgol,Vive en algún lugar del pueblo de Firgol
Gnawing at the Roots,Royendo las raíces
Ari the Brewer in Firgol has asked me to find and clear three mole-burrows in his orchards,Ari el cervecero de Firgol me ha pedido que encuentre y limpie tres madrigueras de topos en sus huertos. madrigueras en sus huertos
They may be well hidden so I might need to search for them,Pueden estar bien escondidas así que puede que tenga que buscarlas
"Once I find them, I should use a shovel to collapse them","Una vez que las encuentre, Debo usar una pala para derrumbarlas"
Once I’m done I am to return to Ari,Una vez que termine debo volver con Ari
The orchards are located north of Ari’s house in the village of Firgol,Los huertos se encuentran al norte de la casa de Ari en el pueblo de Firgol
Burrows Found,Madrigueras Encontradas
The Cook,La Cocinera
The Baroness of Firgol has asked me to talk to Klara the cook to see if they need my help in finishing preparations for the Canivale,La Baronesa de Firgol me ha pedido que hable con Klara la cocinera para ver si necesitan mi ayuda para terminar los preparativos para el Canivale
Talk to Klara,Hablar con Klara
I need to seek out Klara the cook,Necesito buscar a Klara la cocinera
She works at the inn in Firgol,Ella trabaja en la posada en Firgol
Queen's Gambit,Gambito de la Reina
Klara the cook at the inn is preparing honey cakes for the carnivale,Klara la cocinera en la posada está preparando pasteles de miel para el carnaval
She’s asked that I go to the beehives west of the village and fetch her at least one honeycomb of the local 'Firgol honey',Me ha pedido que vaya a las colmenas al oeste de la aldea y le traiga al menos un panal de la «miel de Firgol» local
The Weaver,La tejedora
The Baroness of Firgol has asked me to talk to Camilla the weaver to see if they need my help in finishing preparations for the Canivale,La baronesa de Firgol me ha pedido que hable con Camilla la tejedora para ver si necesitan mi ayuda para terminar los preparativos del Canivale
Talk to Camilla,Habla con Camilla
I need to seek out Camilla the weaver,Tengo que buscar a Camilla la tejedora
She lives somewhere in the village of Firgol,Vive en algún lugar de la aldea de Firgol. vive en algún lugar de la aldea de Firgol
A Song for Camilla,Una canción para Camilla
Camilla the weaver has a crush on a woman named Cass,Camilla la tejedora está enamorada de una mujer llamada Cass
Unfortunately she fears her love is unrequited and has asked me to talk to Cass on her behalf,Desgraciadamente teme que su amor no sea correspondido y me ha pedido que hable con Cass en su nombre
She suggests I search for Cass along the bed of the lake or creek that runs past Firgol,Me sugiere que busque a Cass en el lecho del lago o arroyo que pasa por Firgol
Such Wonders,Tales maravillas
Carnivale is upon you!,¡El Carnaval ha llegado!
Eat!,¡Comed!
Drink!,¡Beban!
Revel!,¡Disfruten!
You must partake in all the wonders of the Carnivale!,¡Debes participar en todas las maravillas del Carnaval!
Try the drink at the Carnevale!,Prueba la bebida del Carnaval.
Sample the food at the Carnivale,Prueba la comida del Carnaval
Give in to the music of the Carnivale,Déjate llevar por la música del Carnaval
The Surprise,La Sorpresa
Enjoy the rest of the night,Disfruta del resto de la noche
The Finale,El Final
Storm the Firgol manor,Asalta la mansión Firgol
The Baron's Play,La obra del Barón
The Baron's play is about to begin,La obra del Barón está a punto de comenzar
Take your place in front of the stage,Toma tu lugar frente al escenario
The Tower of Ash,La Torre de Ceniza
We met a strange man on Idra who beseeched us to travel to an island just north of Idra called Eryll and seek out ‘The Tower of Ash’,Conocimos a un extraño hombre en Idra que nos suplicó que viajáramos a una isla al norte de Idra llamada Eryll y buscáramos «La Torre de Ceniza».
Apparently his master is somehow in dire straits and in need of aid,"Al parecer, su amo se encuentra en una situación desesperada y necesita ayuda"
"Though not much more could be learned from the man, I suspect his master may in fact be a Magos of quite some power","Aunque no se pudo averiguar mucho más del hombre, Sospecho que su maestro puede ser de hecho un Magos de bastante poder"
To the Tower,A la Torre
I've been asked to travel to the island of Eryll,Me han pedido que viaje a la isla de Eryll
It lies a short distance north of Idra but still south of Gradla,"Se encuentra a poca distancia al norte de Idra, pero aún al sur de Gradla"
There I must find ‘The Tower of Ash’ and venture to learn more of the plight of its ‘Master’,Allí debo encontrar «La Torre de Ceniza» y aventurarme a aprender más de la difícil situación de su «Maestro»
Down Below,Abajo
I met the strange apprentices of a Magos by the name of Calipero,Me encontré con los extraños aprendices de un Magos llamado Calipero.
He seems to be missing in the halls underneath the tower and the apprentices are desperate to see him returned,Parece que ha desaparecido en los pasillos de debajo de la torre y los aprendices están desesperados por verlo de vuelta
The entrance to the dungeons below can be found under the mercury pool on the ground floor of the tower,La entrada a las mazmorras de abajo se puede encontrar bajo la piscina de mercurio en la planta baja de la torre
Apparently the entrance will somehow reveal itself if I blow the silver flute given to me by the apprentices,"Al parecer, la entrada se revelará de alguna manera si soplo la flauta de plata que me dieron los aprendices"
Salts of Elthanyr,Sales de Elthanyr
"As I entered the dungeon, I was contacted through magical means by Calipero himself","Al entrar en la mazmorra, fui contactado a través de medios mágicos por el propio Calipero"
It seems he is locked in an arcane stale-mate with some creature he tried to call forth from beyond,Parece que está encerrado en un calabozo arcano con alguna criatura que intentó invocar desde el más allá
To free himself he has asked that we create something called the Salts of Elthanyr and bring it to his summoning chambers beneath the main dungeon,Para liberarse ha pedido que creemos algo llamado Sales de Elthanyr y lo llevemos a sus cámaras de invocación bajo la mazmorra principal
Ingredient Hunt,Caza de Ingredientes
To craft the Salts of Elthanyr I need to find the 'Protoplasmic Catalyzer' and add the following ingredients is this exact order,Para elaborar las Sales de Elthanyr necesito encontrar el 'Catalizador Protoplásmico' y añadir los siguientes ingredientes en este orden exacto
First add Sylversalt,Primero añade Sylversalt
"Second, add Salamander’s Horn","Segundo, añadir cuerno de salamandra"
"Finally, add Lotus Petals","Por último, añadir pétalos de loto"
I'm sure these ingredients as well as the 'Protoplasmic Catalyzer' can be found in this very dungeon,"Estoy seguro de que estos ingredientes, así como el «catalizador protoplásmico» se pueden encontrar en esta misma mazmorra"
The Recipe,La receta
For starters I need to find the recipe for Salts of Elthanyr,"Para empezar, tengo que encontrar la receta de las Sales de Elthanyr"
Hopefully the recipe can be found somewhere in this dungeon,Espero que la receta se puede encontrar en algún lugar de esta mazmorra
The Summoning Chamber,La Cámara de Invocación
I've crafted the Salts of Elthanyr,He elaborado las Sales de Elthanyr
Now I need to make my way down Calipero's Summoning Chambers and assist him as best I can,Ahora tengo que hacer mi camino por las Cámaras de Invocación de Calipero y ayudarle lo mejor que pueda
Vomit Cups,Tazas de Vómito
"Esteban, the alchemist in the Underhalls under Horryn, has asked me to find some ‘vomit cup’ fungi for him","Esteban, el alquimista en el Underhalls bajo Horryn, me ha pedido que le busque unos hongos «taza de vómito»"
They are large green fungi that smell horribly,Son hongos verdes grandes que huelen horriblemente
He explains that they grow in caves adjoining the Underhalls,Me explica que crecen en cuevas adyacentes a los sótanos
These caves can be accessed through a barred gate west of the Rat-Queens court,Se puede acceder a estas cuevas a través de una puerta enrejada al oeste de la corte de las Reinas Rata
The area is off-limits and a guard patrols it,La zona está prohibida y un guardia la patrulla
"Once past the gate, I should make a left turn and find the chamber where the vomit cups grow","Una vez pasada la puerta, debo girar a la izquierda y encontrar la cámara donde crecen las tazas de vómito"
"Afterwards, I’ll return to Esteban for my rewards as well as access to his alchemical supplies","Después, volveré a Esteban para recibir mi recompensa y acceder a sus suministros alquímicos."
